name,alt_standard_price,default_code,profit_margin_1,profit_margin_2,profit_margin_3,profit_margin_4,freight_1,freight_2,freight_3,freight_4
(06240077) motor condensador universal 220v 100w ypy-100-4,"40,13",06240054,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
(12220006) filtro cartucho 10 pulg 1 micras gb-11 celulosa,"1,81",12220002,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
(tel01) tableros electronicos lamina de acero espejo calibre 26,0,TELA01,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
"(telg0) tableros electronicos lamina galbanizada 0,45 m",0,TELG02,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Abocinador 1/4 pulg - 3/4 pulg especial para r-410a wipcool,"29,03",19050029,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Abocinador 1/4 pulg - 3/4 pulg manual o para taladro wipcool,"39,22",19050028,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Abocinador 1/4 pulg - 7/8 pulg sin corta tubo rtk 103 - ct-806,"10,04",19050001,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Abocinador 1/8 pulg - 3/4 pulg con expansores rgc,"14,09",19050003,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Abocinador 1/8 pulg - 3/4 pulg sin corta tubo ct-275 ct-8032,20,19050004,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Abocinador 3/16 pulg - 3/4 pulg con corta tubo expansores y ratchet ct-278 rgc,"19,35",19050009,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Abocinador 3/16 pulg - 5/8 pulg con cortatubo rgc,"8,93",19050002,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Abocinador 5/8 pulg - 1 1/8 pulg sin corta tubo ft-103 - ct-203,"12,5",19050012,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Abocinador electrico multiple 1/4 3/8 1/2 5/8 3/4 pulg st-e900a rgc,0,19050020,0,0,0,0,"0,9","0,9","0,9","0,9"
Abocinador multiple 3/16 1/4 3/8 1/2 5/8 pulg ct-500,"10,24",19050015,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Abrazadera 10-12 mm 1/2-5/8 pulg,2,01100002,"0,8","0,85","0,9","0,91","0,9","0,9","0,9","0,9"
Abrazadera 18000-24000 btu grip lock size 2,"0,9",06500012,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Abrazadera 30000-36000 btu grip lock size 3,"0,9",06500013,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Abrazadera 48000-60000 btu grip lock size 4,"0,9",06500014,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Abrazadera 6-8 mm 5/16-13/32 pulgadas,"0,51",01100001,"0,8","0,85","0,9","0,91","0,9","0,9","0,9","0,9"
Abrazadera 9000-12000 btu grip lock size 1,0,06500011,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Aceite 3 x 1 uso multiple compresor oil 30 ml,"0,79",12100050,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite 3 x 1 uso multiple compresor oil 90 ml,"0,97",12100054,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite bomba de vacio 473 ml bva vac 235,"0,75",12100001,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite bomba de vacio 500 ml wipcool,"3,82",12100003,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite bomba de vacio 8 oz  genetron,"1,5",12100002,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite litro olio plus 20w50 rbv pote transparente,"2,93",12100040,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral 150 galon r-22 texas,"15,57",12100083,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Aceite mineral 150 lts r-22 texas,"3,9",12100081,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Aceite mineral 300 galon r-22 texas,"16,47",12100088,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Aceite mineral 300 lts r-22 texas,"4,12",12100086,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Aceite mineral galon r-22 enkarate 68 usa original,29,12100006,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral galon r-22 iso capella chevron 68,0,12100008,"0,7","0,75","0,8","0,81","0,9","0,9","0,9","0,9"
Aceite mineral galon r-22 suniso 150 3gs - bva 3uvg economico,"10,5",12100011,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral galon r-22 suniso 150 3gs - bva 3uvg original,23,12100052,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral galon r-22 suniso 300 4gs - bva 4uvg economico,"10,5",12100012,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral galon r-22 suniso 300 4gs - bva 4uvg original,28,12100053,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral galon r-22 texaco capella wf 32 usa original,23,12100046,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral galon r-22 texaco capella wf 68 usa original,14,12100013,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral galon r-22 venoco 68,"12,5",12100028,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral lts r-12 system-frio cark 32,"6,6",12100015,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral lts r-22 compresor oil h-s 68,"2,97",12100007,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral lts r-22 frio max 32,"5,18",12100014,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral lts r-22 frio max 68,"5,42",12100016,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral lts r-22 system-frio cark 68,"6,6",12100017,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral lts r22 capell iso tx-32 946 cm3,"4,21",12100039,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral lts r22 capell iso tx-68 946 cm3,"4,21",12100038,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral tambor de 208lts capell-oil tx-iso-68,890,12100047,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite pag-150 8oz con uv r-134a texas,"3,31",12100101,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite polyol ester 32 8oz r-134a r-404a nevera texas,"2,21",12100090,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite polyol ester 32 lts r-134a r-404atexas,"8,67",12100091,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Aceite polyol ester 68 galon r-134a r-404a texas,"35,04",12100098,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Aceite polyol ester 68 lts r-134a r-404a texas,"8,76",12100096,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Aceite polyol ester 8 oz r-134a compresor oil 32 sin uv nevera,"1,72",12100049,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite polyol ester 8 oz r-134a pag-100 con uv automotriz compresor oil,"1,72",12100026,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite polyol ester 8 oz r-134a pag-46 con uv automotriz compresor oil,"1,72",12100025,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite polyol ester 8oz r-134a pag-150 con uv automotriz alaska - johnsens,"4,03",12100022,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite polyol ester 8oz r-134a pag-150 con uv automotriz compresor oil,"1,72",12100024,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite polyol ester 8oz r-134a pag-46 con uv automotriz maslex,"4,32",12100042,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite polyol ester galon r-134a - r-404a enkarate rl 32,45,12100043,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite polyol ester galon r-134a - r-404a enkarate rl 68,55,12100044,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite polyol ester galon r-134a - r-404a enkaroil 32 sin uv,"28,16",12100062,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite polyol ester galon r-134a - r-404a enkaroil 68 sin uv,"27,95",12100063,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite polyol ester galon r-134a - r-404a genetron 32,"14,78",12100018,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite polyol ester galon r-134a - r-404a genetron 68,"14,78",12100019,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite polyol ester lts r-134a - r-404a enkarate 100 sin uv,9,12100034,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite polyol ester lts r-134a - r-404a enkarate 32 sin uv,8,12100032,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite polyol ester lts r-134a - r-404a enkarate 68 sin uv,12,12100033,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite polyol ester lts r-134a - r-404a enkaroil 32 sin uv,9,12100060,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite polyol ester lts r-134a - r-404a enkaroil 68 sin uv,9,12100061,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite polyol ester lts r-134a - r-404a enkaroil 68 sin uv,"7,98",12100021,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite polyol ester pag 8 oz r-134a genetron - cool pro pag-150 sin uv automotriz,"1,5",12100023,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite polyol ester pag 8 oz r-134a genetron pag-100 sin uv automotriz,"1,5",12100041,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite polyol ester poe 8 oz. r-134a sanden poe-150 con uv automotriz,"2,18",12100045,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Acople de licuadora oster nacional,"0,82",50300002,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Acople para conexion capilar thermoplastico rgc,"0,15",12360070,"0,75","0,75","0,85","0,86","0,85","0,85","0,85","0,85"
Acumulador de succion 1-1/8 pulg odf vertical,"28,61",12140005,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Acumulador de succion 1-1/8 pulg odf vertical fdq-208 rgc,"31,55",12140013,"0,75","0,75","0,85","0,86","0,85","0,85","0,85","0,85"
Acumulador de succion 1-3/8 pulg odf vertical,33,12140006,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Acumulador de succion 1-3/8 pulg odf vertical fdq-209 rgc,"35,11",12140014,"0,75","0,75","0,85","0,86","0,85","0,85","0,85","0,85"
Acumulador de succion 1-5/8 pulg odf vertical,0,12140007,"0,7","0,75","0,8","0,81","0,9","0,9","0,9","0,9"
Acumulador de succion 1-5/8 pulg odf vertical fdq-210 rgc,"39,97",12140015,"0,75","0,75","0,85","0,86","0,85","0,85","0,85","0,85"
Acumulador de succion 1/2 pulg odf vertical emerson,12,12140009,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Acumulador de succion 3/4 pulg odf vertical,20,12140003,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Acumulador de succion 3/4 pulg odf vertical fdq-206 rgc,"17,85",12140011,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Acumulador de succion 5/8 pulg odf vertical,"43,03",12140001,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Acumulador de succion 5/8 pulg odf vertical fdq-205 rgc,"13,72",12140010,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Acumulador de succion 7/8 pulg odf vertical fdq-207 rgc,"21,41",12140012,"0,75","0,75","0,85","0,86","0,85","0,85","0,85","0,85"
Acumulador de succion 7/8 pulg odf vertical tas-5 127,24,12140004,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Adaptador carga alta - baja r-134a 1/4 pulg flare,"8,7",01540004,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Adaptador carga alta baja r-134a 1/4 pulg flare rtqc-h rgc,"3,63",01540001,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Adaptador carga alta r-134a 1/4 pulg flare,"1,65",01540002,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Adaptador carga alta r-134a 1/4 sae hongsen,0,01540027,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Adaptador carga alta r-134a con adaptador m 14*1.5 - 1/4 sae hongsen,"4,46",01540022,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Adaptador carga baja r-134a 1/4 pulg flare rtqc-l rgc,"4,116",01540003,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Adaptador carga baja r-134a 1/4 sae hongsen,0,01540026,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Adaptador carga baja r-134acon adaptador m 14*1.5 - 1/4 sae hongsen,"4,26",01540021,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Ahorrador de consumo electtrico 110v es-003,4,10130019,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Aire compacto 10 ton  220v ph3 r-410a midea,6925,05700010,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire compacto 10 ton  220v ph3 r-410a star green,7825,05700011,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire compacto 15 ton 220v ph3 clark,10500,05700012,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire compacto 20 ton 220v ph3 r-410a good style,14975,05700013,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire compacto 3 ton 36000 btu 220v ph1 khaled,1950,05700001,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire compacto 3 ton 36000 btu 220v ph3 good style,930,05700003,"0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,9"
Aire compacto 3 ton 36000 btu r-410a 220v ph1 midea,1400,05700002,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire compacto 5 ton 60.000 btu r-410 ph3 midea,2950,05700006,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire compacto 5 ton 60000 btu 220v ph3 innovair,2750,05700009,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire compacto 5 ton 60000 btu 220v ph3 r-410a good style,3335,05700008,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire compacto 5 ton 60000 btu 220v ph3 zub cero,2650,05700007,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire compacto 7.5 ton 90000 btu 220v ph3 midea,6000,05700005,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire split 12000 btu 110v r-410a khaled,225,05300006,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire split 12000 btu 220v daewoo,"202,43",05300011,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire split 12000 btu 220v everwell,320,05300012,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire split 12000 btu 220v good style,0,05300005,"0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,9"
Aire split 12000 btu 220v r-410a khaled,190,05300007,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire split 12000 btu 220v r410 freeze,"290,03",05300010,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire split 12000 btu 220v r410 viotto,"202,43",05300008,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire split 12000 btu 220v stargreen,250,05300004,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire split 18000 btu 220v ecox,450,05300023,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire split 18000 btu 220v good style,530,05300025,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire split 18000 btu 220v r-410a khaled,330,05300017,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire split 18000 btu 220v r410 freeze,"422,58",05300020,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire split 18000 btu 220v r410 frigilux,450,05300018,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire split 24000 btu 220v good style,"407,4",05300047,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire split 24000 btu 220v r-410 freeze,"518,95",05300030,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire split 24000 btu 220v r-410 khaled,"407,4",05300027,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire split 24000 btu 220v r-410a frigilux,610,05300044,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire split 24000 btu 220v r410 viotto,446,05300028,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire split 36000 btu 220v good style,720,05300048,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire split 9000 btu 110v ecox,"200,02",05300001,"0,9","0,9","0,9","0,91","0,95","0,95","0,95","0,95"
Aire split 9000 btu 110v frigilux,0,05300002,"0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,9"
Aire ventana 10000 btu 110v innovair,220,05100007,"0,9","0,9","0,9","0,91","0,85","0,85","0,85","0,85"
Aire ventana 12000 btu 110v innovair,260,05100008,"0,9","0,9","0,9","0,91","0,85","0,85","0,85","0,85"
Aire ventana 12000 btu 220v viotto,260,05100009,"0,9","0,9","0,9","0,91","0,85","0,85","0,85","0,85"
Aire ventana 12000 btu 220v viotto,0,05100003,"0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,9"
Aire ventana 18000 btu 220v innovair,300,05100004,"0,9","0,9","0,9","0,91","0,85","0,85","0,85","0,85"
Aire ventana 24000 btu 220v innovair,431,05100005,"0,9","0,9","0,9","0,91","0,85","0,85","0,85","0,85"
Alicate corte diagonal 6 pulg brufer,"3,6",19150007,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Alicate corte diagonal 8 pulg brufer,0,19150008,"0,7","0,75","0,8","0,81","0,9","0,9","0,9","0,9"
Alicate de presion 07 pulg,"9,01",19150009,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Alicate de presion 10 pulg cobra,"2,42",19150010,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Alicate de presion 7 pulg sellador de tubo,"4,017",19150011,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Alicate de presion 7 pulg sellador de tubo wipcool,"6,1",19150012,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Alicate electricista 8 pulg brufer,"8,37",19150017,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Alicate electricista crimpeador multiuso p/cable brufer,"3,46",19150016,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Alicate electricista punta larga 4 1/2 pulg brufer,"1,61",19150014,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Alicate pela cable brufer,"3,04",19150022,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Alicate pincha tubo 1/8 pulg - 3/8 pulg wipcool,"9,62",19150013,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 04 pulg  blanco fino por paquete,"0,5",19530001,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 08 pulg negro fino por paquete,1,19530003,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 10 pulg blanco fino por und,"0,0124",19530052,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 10 pulg blanco fino rgc por paquete,"2,07",19530004,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 10 pulg blanco grueso por und,"0,0174",19530054,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 10 pulg blanco grueso rgc por paquete,"1,27",19530020,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 10 pulg negro fino por paquete,"2,07",19530005,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 10 pulg negro fino por und,"0,0124",19530053,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 10 pulg negro grueso por paquete,"1,27",19530021,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 10 pulg negro grueso por und,"0,0174",19530055,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 11 pulg blanco fino por paquete,"1,5",19530006,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Amarre plastico 12 pulg blanco fino por paquete,2,19530013,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 12 pulg blanco fino por und,"0,02",19530056,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 14 pulg blanco fino por und,"0,0223",19530058,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 14 pulg blanco fino rgc por paquete,"1,47",19530007,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 14 pulg blanco grueso por und,"0,0414",19530060,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 14 pulg blanco grueso rgc por paquete,"4,42",19530008,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 14 pulg negro fino por und,"0,0223",19530059,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 14 pulg negro fino rgc por paquete,"1,47",19530009,"0,75","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 14 pulg negro grueso por paquete,"4,42",19530010,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 14 pulg negro grueso por und,"0,0414",19530061,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 18 pulg blanco grueso por paquete,"8,6408",19530023,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 18 pulg blanco grueso por und,"0,05",19530062,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 18 pulg negro grueso por paquete,"8,6408",19530022,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 18 pulg negro grueso por und,"0,05",19530063,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 20 pulg blanco grueso  por paquete,9,19530011,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 20 pulg blanco grueso por und,"0,06",19530064,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 20 pulg negro grueso  por paquete,9,19530012,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 20 pulg negro grueso por und,"0,06",19530065,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 21 pulg blanco grueso por paquete,"9,51",19530024,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 21 pulg blanco grueso por und,"0,07",19530066,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 21 pulg negro grueso por paquete,"9,51",19530025,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 21 pulg negro grueso por und,"0,07",19530067,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 3 pulg blanco fino  por paquete,"0,51",19530014,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 3 pulg blanco fino por und,"0,005",19530042,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 3 pulg negro fino  por paquete,"0,51",19530015,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 3 pulg negro fino por und,"0,005",19530043,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 30 pulg blanco grueso por paquete,6,19530027,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 30 pulg blanco grueso por und,"0,09",19530068,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 30 pulg negro grueso por paquete,6,19530026,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 30 pulg negro grueso por und,"0,09",19530069,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 4 pulg blanco fino por und,"0,006",19530044,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 5 pulg blanco fino por paquete,"0,87",19530017,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 5 pulg blanco fino por und,"0,007",19530046,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 5 pulg negro fino por paquete,"0,87",19530016,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 5 pulg negro fino por und,"0,007",19530047,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 7 pulg blanco fino por paquete,"1,22",19530019,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 7 pulg blanco fino por und,"0,008",19530048,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 7 pulg negro fino por paquete,"0,87",19530018,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Amarre plastico 8 pulg negro fino por und,"0,008",19530051,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Anemometro minii digital,16,19350010,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Anillo de compresion 1/4 pulg,"0,07",11760003,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Anillo de compresion 3/16 pulg,"0,06",11760002,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Antivibrador 1-1/8 pulg odf,15,12090005,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Antivibrador 1-1/8 pulg odf vafx-118-28 hongsen,"10,37",12090014,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Antivibrador 1-1/8 pulg odf vat-1-1/8 rgc,0,12090024,"0,7","0,7","0,8","0,81","0,9","0,9","0,9","0,9"
Antivibrador 1-3/8 pulg odf,"26,24",12090006,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Antivibrador 1-3/8 pulg odf vafx-138-35 hongsen,"16,42",12090015,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Antivibrador 1-3/8 pulg odf vat-1-3/8 rgc,0,12090025,"0,7","0,7","0,8","0,81","0,9","0,9","0,9","0,9"
Antivibrador 1-5/8 pulg odf vafx-158-42 hongsen,"22,43",12090016,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
