name,alt_standard_price,default_code,profit_margin_1,profit_margin_2,profit_margin_3,profit_margin_4,freight_1,freight_2,freight_3,freight_4
Motor con acople 37w 110v 1550 r.p.m. rev-8105 motorvenca,"28,38",13100015,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor con acople 37w 220v 1550 r.p.m. rev-8106 motorvenca,"30,62",13100017,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor con acople 50w 110v 1550 r.p.m. mtsm50 cw rgc,0,13100057,"0,75","0,75","0,85","0,86","0,85","0,85","0,85","0,85"
Motor con acople 50w 110v 1550 r.p.m. rev-8107 motorvenca,"29,95",13100018,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor con acople 50w 220v 1550 r.p.m. mtsm50 cw rgc,0,13100058,"0,75","0,75","0,85","0,86","0,85","0,85","0,85","0,85"
Motor con acople 50w 220v 1550 r.p.m. rev-8108 motorvenca,"30,73",13100019,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor con acople 5w 110v 1550 r.p.m. ccw mtsm5 rgc,"8,61",13100043,"0,75","0,75","0,85","0,86","0,85","0,85","0,85","0,85"
Motor con acople 5w 110v 1550 r.p.m. rev-3001 motorvenca,"14,35",13100001,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor con acople 75w 110v 1550 r.p.m. rev-8202 motorvenca,0,13100021,"0,7","0,75","0,8","0,81","0,9","0,9","0,9","0,9"
Motor con acople 7w 110v 1550 r.p.m. ccw mtsm7 rgc,9,13100044,"0,75","0,75","0,85","0,86","0,85","0,85","0,85","0,85"
"Motor con acople n10-30 220v 18/73w 0,52amp elco","10,8",13100032,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor condensador universal 220v 25w 12.000 btu,"15,45",06240047,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Motor condensador universal 220v 30w cw,"20,8",06240043,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Motor condensador universal 220v 32w sin sensor,0,06240051,"0,75","0,8","0,85","0,86","0,9","0,9","0,9","0,9"
Motor condensador universal 220v 35w cw,19,06240045,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Motor condensador universal 220v 40w 18.000 btu,"23,5",06240046,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Motor condensador universal 220v 50w cw - ccw 24000btu,"24,09",06240053,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Motor condensador universal 220v 53w yys53-4 cw,"16,23",06240052,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 1/2 pulg 1-1/2-1/3 hp 220v d711 fasco,91,13180064,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 1/2 pulg 1/10 - 1/30 hp 220v 1550 r.p.m.,"0,68",13180003,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 1/2 pulg 1/15 hp 110v 1550 r.p.m. ucd-303 motorvenca,"60,7",13180008,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 1/2 pulg 1/15 hp 220v 1550 r.p.m. ucd-304 motorvenca,"62,84",13180009,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 1/2 pulg 1/2 hp 220v 1075 r.p.m. f-935 frigorex de rolinera,250,13180016,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 1/2 pulg 1/2 hp 220v 1075 r.p.m. rgc,"53,98",13180108,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 1/2 pulg 1/2 hp 220v 1075 r.p.m. ucd-483 motorvenca,"65,27",13180018,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 1/2 pulg 1/2 hp 220v 1075 r.p.m. unicool,"57,923",13180017,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 1/2 pulg 1/2 hp 220v d745 fasco,85,13180065,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 1/2 pulg 1/20 hp 110v 1550 r.p.m. ucd-301 motorvenca,"56,33",13180021,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 1/2 pulg 1/20 hp 220v 1550 r.p.m. ucd-302 motorvenca,"59,99",13180022,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 1/2 pulg 1/3 hp 220v 1075 r.p.m. maslex - linear - diversitech - edisson,"48,6",13180026,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 1/2 pulg 1/3 hp 220v 1075 r.p.m. rgc,"46,68",13180107,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 1/2 pulg 1/4 - 1/6 - 1/8 hp 220v 1075 r.p.m.,"72,5",13180031,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 1/2 pulg 1/4 hp 220v 1075 r.p.m. 3728 royal electric,69,13180074,"0,7","0,75","0,8","0,81","0,9","0,9","0,9","0,9"
Motor de 1 eje 1/2 pulg 1/4 hp 220v 1075 r.p.m. rgc,"39,38",13180106,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 1/2 pulg 1/4 hp 220v 1075 r.p.m. rs1860 rostock,"55,566",13180070,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 1/2 pulg 1/4 hp 220v 1550 r.p.m. ucd-432 motorvenca,"73,58",13180053,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 1/2 pulg 1/6 hp 220v 1075 r.p.m. 1859 emerson,"55,63",13180037,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 1/2 pulg 1/8 hp 110v 1550 r.p.m. motorvenca,"66,32",13180039,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 1/2 pulg 2 hp 110v inteligente 00 a 14000 r.p.m.,"161,29",13180042,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 1/2 pulg 3/4 hp 220v 1075 r.p.m. 1868h nidec us motors,134,13180013,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 1/2 pulg 3/4 hp 220v 1075 r.p.m. 3731 royal electric,60,13180075,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 1/2 pulg 3/4 hp 220v 1075 r.p.m. maslex mx3310,0,13180046,"0,7","0,75","0,8","0,81","0,9","0,9","0,9","0,9"
Motor de 1 eje 1/2 pulg 3/4 hp 220v 1075 r.p.m. rgc,"59,2",13180109,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 1/2 pulg 3/4 hp 220v 1075 r.p.m. rostock,"85,85",13180044,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 1/2 pulg 3/4 hp 220v 1075 r.p.m. unicool,74,13180034,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 5/16 pulg 1/15 hp 220v 1550 r.p.m. ap-26 ccw,"31,53",13180078,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 5/16 pulg 23w  110v 1550 r.p.m. ccw esp-l20tjr1 electric motors,"7,41",13180080,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 5/8 pulg 1 hp 220/460v 1075 r.p.m. nidec,270,13180002,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 1 eje 5/8 pulg 1 hp 220v ph1 460v 1075 r.p.m.,0,13180052,"0,7","0,75","0,8","0,81","0,9","0,9","0,9","0,9"
Motor de 1 eje 5/8 pulg 1 hp 220v ph3 1140 r.p.m.,0,13180051,"0,7","0,75","0,8","0,81","0,9","0,9","0,9","0,9"
Motor de 2 ejes 1/2 pulg 1/10 hp 110v 1075 r.p.m. 3 vel rac-401 motorvenca,"18,68",13220039,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 2 ejes 1/2 pulg 1/3 hp 220v 1075 r.p.m. 3 vel rac-410 motorvenca,0,13220012,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 2 ejes 1/2 pulg 1/6 - 1/8 - 1/10 hp 220v 1075 r.p.m. 3 vel,100,13220024,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 2 ejes 1/2 pulg 1/6 hp 110v 1075 r.p.m. 3 vel 1216 emerson,"59,34",13220025,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 2 ejes 1/2 pulg 1/6 hp 110v 1075 r.p.m. 3 vel rac-405 motorvenca,"23,01",13220026,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor de 2 ejes 1/2 pulg 3/4 - 1/2 - 1/3 hp 220v 1075 r.p.m. 3 vel,90,13220001,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
Motor elect licuadora oster elc-703  120v  3velc  c/a,"25,5",50300014,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Motor evaporador 9000-12000btu 220v 12w cw,"15,9",06240032,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
