id,default_code,alt_standard_price,pricelist_item_type_1_margin,pricelist_item_type_2_margin,pricelist_item_type_3_margin,pricelist_item_type_4_margin,pricelist_item_type_5_margin,pricelist_item_type_1_freight,pricelist_item_type_2_freight,pricelist_item_type_3_freight,pricelist_item_type_4_freight,pricelist_item_type_5_freight
__export__.product_product_11554_b5b1f041,12200308,"4,72","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11555_3be74a3e,12200309,"4,99","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11556_373acb29,12200311,"7,22","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11557_05cfd002,12200312,"7,48","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11558_04b200ee,12200313,"8,13","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11559_d01b728e,12200355,"3,83","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11560_e47d2e3a,12200357,"4,59","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11561_a245fb99,12200359,"5,71","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11562_b457947a,12200362,"7,48","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11563_6421745e,12220002,"0,00","0,70","0,75","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11564_3452517f,12220003,"1,60","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11565_a21b58d0,12220004,"2,20","0,70","0,75","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11566_dacc23fc,12220005,"2,30","0,70","0,75","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11567_194d6c2a,12220006,"2,06","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11568_82636042,12220007,"2,25","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11569_dd5241ab,12220011,"2,79","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11570_31607442,12220012,"7,21","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11571_1e338a01,12220013,"17,60","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11572_2b69c917,12220015,"7,15","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11573_676b6406,12220016,"11,76","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11574_67a1b94e,12220017,"12,35","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11575_2d5c2f13,12220019,"11,18","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11576_8c34f808,12220024,"8,75","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11577_b01ea088,12220025,"1,22","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11578_8c940342,12220026,"1,33","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11579_ae3a3775,12220027,"0,67","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11580_fd28f4ec,12220028,"0,44","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11581_a7db4f41,12220029,"0,13","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11582_eccde790,12220031,"3,20","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11583_00de0d59,12220032,"8,82","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11584_54b61c8a,12240001,"2,15","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11585_adc045df,12240003,"12,12","0,70","0,75","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_11586_6969f673,12240005,"1,86","0,70","0,75","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
